date,code,open,close,high,low,volume,money,drop_5day,drop_5day_after_1day
2009-12-14,000062.XSHE,11.19,10.95,11.38,10.66,8357898.0,,0,0.0
2009-12-15,000062.XSHE,10.99,10.8,10.99,10.67,4186827.0,,0,0.0
2009-12-16,000062.XSHE,10.73,10.62,10.87,10.5,4014556.0,,0,0.0
2009-12-17,000062.XSHE,10.73,10.27,10.73,10.24,3503405.0,,0,0.0
2009-12-18,000062.XSHE,10.2,10.05,10.45,9.9,3991267.0,,1,0.0
2009-12-21,000062.XSHE,10.01,10.08,10.19,9.92,2698183.0,,0,1.0
2010-01-22,000062.XSHE,9.96,9.76,9.96,9.55,3346958.0,,0,0.0
2010-01-25,000062.XSHE,9.73,9.68,9.79,9.6,1302390.0,,0,0.0
2010-01-26,000062.XSHE,9.72,9.13,9.77,9.08,2543492.0,,0,0.0
2010-01-27,000062.XSHE,9.13,9.04,9.21,9.0,1766141.0,,0,0.0
2010-01-28,000062.XSHE,9.09,9.0,9.1,8.92,2123647.0,,1,0.0
2010-01-29,000062.XSHE,9.0,9.04,9.17,8.95,1970166.0,,0,1.0
2010-04-23,000062.XSHE,11.81,11.67,12.3,11.58,14428963.0,,0,0.0
2010-04-26,000062.XSHE,11.55,11.51,11.84,11.5,7099968.0,,0,0.0
2010-04-28,000062.XSHE,10.9,11.21,11.4,10.9,6806257.0,,0,0.0
2010-04-29,000062.XSHE,11.24,10.26,11.39,10.22,9163155.0,,0,0.0
2010-04-30,000062.XSHE,10.2,9.93,10.34,9.23,5828856.0,,1,0.0
2010-05-04,000062.XSHE,9.7,9.97,10.1,9.5,2851336.0,,0,1.0
2010-05-06,000062.XSHE,10.31,9.89,10.47,9.86,4911285.0,,0,0.0
2010-05-07,000062.XSHE,9.4,9.59,9.83,9.3,4012436.0,,0,0.0
2010-05-10,000062.XSHE,9.5,9.42,9.65,9.2,3093060.0,,0,0.0
2010-05-11,000062.XSHE,9.58,9.22,9.7,9.2,3242609.0,,0,0.0
2010-05-12,000062.XSHE,9.13,8.96,9.28,8.8,3224537.0,,1,0.0
2010-05-13,000062.XSHE,9.0,9.12,9.15,8.7,3333224.0,,0,1.0
2010-06-29,000062.XSHE,8.53,8.07,8.66,8.06,2583373.0,,0,0.0
2010-06-30,000062.XSHE,8.13,7.9,8.13,7.82,1462869.0,,0,0.0
2010-07-01,000062.XSHE,7.99,7.68,8.0,7.63,1226260.0,,0,0.0
2010-07-02,000062.XSHE,7.66,7.6,7.75,7.17,1966568.0,,0,0.0
2010-07-05,000062.XSHE,7.52,7.5,7.53,7.33,1083181.0,,1,0.0
2010-07-06,000062.XSHE,7.5,7.92,7.92,7.42,1664735.0,,0,1.0
2010-12-22,000062.XSHE,9.27,9.18,9.33,9.15,3892442.0,,0,0.0
2010-12-23,000062.XSHE,9.15,9.08,9.25,8.96,3012338.0,,0,0.0
2010-12-24,000062.XSHE,8.92,9.02,9.15,8.9,2229012.0,,0,0.0
2010-12-27,000062.XSHE,9.05,8.88,9.1,8.63,2263600.0,,0,0.0
2010-12-28,000062.XSHE,8.77,8.41,8.89,8.38,2787831.0,,1,0.0
2010-12-29,000062.XSHE,8.38,8.43,8.45,8.25,1342597.0,,0,1.0
2011-04-22,000062.XSHE,9.38,9.37,9.48,9.3,1566437.0,,0,0.0
2011-04-25,000062.XSHE,9.31,9.29,9.42,9.21,1859657.0,,0,0.0
2011-04-26,000062.XSHE,9.26,8.79,9.3,8.79,2344399.0,,0,0.0
2011-04-27,000062.XSHE,8.8,8.49,8.91,8.38,4254174.0,,0,0.0
2011-04-28,000062.XSHE,8.49,8.27,8.55,8.15,2862733.0,,1,0.0
2011-04-29,000062.XSHE,8.2,8.36,8.43,8.2,1616141.0,,0,1.0
2011-10-14,000062.XSHE,7.18,7.18,7.25,7.1,504490.0,,0,0.0
2011-10-17,000062.XSHE,7.19,7.11,7.22,7.06,625700.0,,0,0.0
2011-10-18,000062.XSHE,7.03,6.96,7.1,6.93,523600.0,,0,0.0
2011-10-19,000062.XSHE,6.96,6.9,7.06,6.88,326500.0,,0,0.0
2011-10-20,000062.XSHE,6.9,6.56,6.9,6.43,1099927.0,,1,0.0
2011-10-21,000062.XSHE,6.53,6.55,6.66,6.5,333287.0,,1,1.0
2011-10-24,000062.XSHE,6.55,6.67,6.67,6.47,397258.0,,0,1.0
2011-12-09,000062.XSHE,6.7,6.68,6.78,6.52,271299.0,,0,0.0
2011-12-12,000062.XSHE,6.7,6.6,6.7,6.58,370068.0,,0,0.0
2011-12-13,000062.XSHE,6.58,6.49,6.64,6.3,762716.0,,0,0.0
2011-12-14,000062.XSHE,6.42,6.32,6.49,6.31,270160.0,,0,0.0
2011-12-15,000062.XSHE,6.31,6.16,6.31,6.12,599405.0,,1,0.0
2011-12-16,000062.XSHE,6.2,6.3,6.3,6.12,429345.0,,0,1.0
2012-06-18,000062.XSHE,7.33,7.3,7.38,7.18,4558073.0,,0,0.0
2012-06-19,000062.XSHE,7.28,7.2,7.38,7.18,3019921.0,,0,0.0
2012-06-20,000062.XSHE,7.13,7.09,7.36,7.08,2822162.0,,0,0.0
2012-06-21,000062.XSHE,7.1,7.07,7.15,6.98,1979196.0,,0,0.0
2012-06-25,000062.XSHE,7.01,6.98,7.04,6.76,2101719.0,,1,0.0
2012-06-26,000062.XSHE,6.9,6.95,6.96,6.75,1191912.0,,1,1.0
2012-06-27,000062.XSHE,6.85,6.95,7.08,6.84,1543559.0,,0,1.0
2013-02-26,000062.XSHE,6.82,6.81,6.92,6.75,4630010.0,,0,0.0
2013-02-27,000062.XSHE,6.85,6.7,6.91,6.5,3297840.0,,0,0.0
2013-02-28,000062.XSHE,6.71,6.68,6.72,6.46,4713123.0,,0,0.0
2013-03-01,000062.XSHE,6.68,6.63,6.68,6.53,3554752.0,,0,0.0
